epoch,train_loss,dev_eer,lr,seconds
0,0.27928,0.00630,3.00e-04,733
1,0.02988,0.03062,3.00e-04,640
2,0.02439,0.00237,2.99e-04,547
3,0.01688,0.00431,2.96e-04,305
4,0.00801,0.05775,2.92e-04,597
5,0.01330,0.00973,2.86e-04,413
6,0.01287,0.00276,2.79e-04,332
7,0.00929,0.00663,2.69e-04,485
